Genome length,Divisions,Fitness
1000000,6,0.992898888
1000000,8,0.994670385
1000000,10,0.981137156
1000000,12,0.985299467
1000000,14,0.972751428
1000000,16,0.965970666
1000000,18,0.950229922
1000000,20,0.925116664
1000000,22,0.93784611
1000000,24,0.925755379
1000000,26,0.936594001
1000000,28,0.910987032
1000000,30,0.902562572
1000000,32,0.903288065
1000000,34,0.871494801
1000000,36,0.854296887
1000000,38,0.856452796
1000000,40,0.802421068
1000000,42,0.840724029
1000000,44,0.82480868
1000000,46,0.821764099
1000000,48,0.807284857
1000000,50,0.777178623
1000000,52,0.770922721
1000000,54,0.733191456
1000000,56,0.749998381
1000000,58,0.712468024
1000000,60,0.720574183
1000000,62,0.731233099
1000000,64,0.723090742
1000000,66,0.71062663
1000000,68,0.68148955
1000000,70,0.636135025
1000000,72,0.649360526
1000000,74,0.633363309
1000000,76,0.625171621
1000000,78,0.649595128
1000000,80,0.617479251
1000000,82,0.622372428
1000000,84,0.614267948
1000000,86,0.601733147
1000000,88,0.589190614
1000000,90,0.538973019
1000000,92,0.582632522
1000000,94,0.558601836
1000000,96,0.547149369
1000000,98,0.545317946
1000000,100,0.525895197
1000000,102,0.520164837
1000000,104,0.478310246
1000000,106,0.502666739
1000000,108,0.48094877
1000000,110,0.484990241
1000000,112,0.44896545
1000000,114,0.466641583
1000000,116,0.434040731
1000000,118,0.449777333
1000000,120,0.425333151
1000000,122,0.419310578
1000000,124,0.414953943
1000000,126,0.422328181
1000000,128,0.423681404
1000000,130,0.409015961
1000000,132,0.419652328
1000000,134,0.415834574
1000000,136,0.395868028
1000000,138,0.400176751
1000000,140,0.397853318
1000000,142,0.376238993
1000000,144,0.394609309
1000000,146,0.370125845
1000000,148,0.369451224
1000000,150,0.346776406
1000000,152,0.33943622
1000000,154,0.325550407
1000000,156,0.334891016
1000000,158,0.325728254
1000000,160,0.325991548
1000000,162,0.345665302
1000000,164,0.332978925
1000000,166,0.327563155
1000000,168,0.33044169
1000000,170,0.322873888
1000000,172,0.327376172
1000000,174,0.332254384
1000000,176,0.311689367
1000000,178,0.318638611
1000000,180,0.308713765
1000000,182,0.322024455
1000000,184,0.326563777
1000000,186,0.316652752
1000000,188,0.314553146
1000000,190,0.322811073
1000000,192,0.30543757
1000000,194,0.31316421
1000000,196,0.303084888
1000000,198,0.30535482
1000000,200,0.299858713
1000000,202,0.295830472
1000000,204,0.304208016
1000000,206,0.287639645
1000000,208,0.289424889
1000000,210,0.277872295
1000000,212,0.291274692
1000000,214,0.301936422
1000000,216,0.287975932
1000000,218,0.279708634
1000000,220,0.281796575
1000000,222,0.288627811
1000000,224,0.277410258
1000000,226,0.281183598
1000000,228,0.280597578
1000000,230,0.287919234
1000000,232,0.277741142
1000000,234,0.274085966
1000000,236,0.274811812
1000000,238,0.256493602
1000000,240,0.260210053
1000000,242,0.259120312
1000000,244,0.256622241
1000000,246,0.244971268
1000000,248,0.255738948
1000000,250,0.239479712
1000000,252,0.245066557
1000000,254,0.234602501
1000000,256,0.243041627
1000000,258,0.243194611
1000000,260,0.227408963
1000000,262,0.236202796
1000000,264,0.238923355
1000000,266,0.231257265
1000000,268,0.234359454
1000000,270,0.223812227
1000000,272,0.233001072
1000000,274,0.228146061
1000000,276,0.234121649
1000000,278,0.229258011
1000000,280,0.227529978
1000000,282,0.228870527
1000000,284,0.221377501
1000000,286,0.228071145
1000000,288,0.223238617
1000000,290,0.21659732
1000000,292,0.224771918
1000000,294,0.217813731
1000000,296,0.227519628
1000000,298,0.203559562
1000000,300,0.212127822
1000000,302,0.205989912
1000000,304,0.216231288
1000000,306,0.209472211
1000000,308,0.203306336
1000000,310,0.205695561
1000000,312,0.202392828
1000000,314,0.206303641
1000000,316,0.201996102
1000000,318,0.204984823
1000000,320,0.199752347
1000000,322,0.205100051
1000000,324,0.194664506
1000000,326,0.202595643
1000000,328,0.197808291
1000000,330,0.197946362
1000000,332,0.193022867
1000000,334,0.190246016
1000000,336,0.187694113
1000000,338,0.194058687
1000000,340,0.194476552
1000000,342,0.189651132
1000000,344,0.195722761
1000000,346,0.188375232
1000000,348,0.181778609
1000000,350,0.182719211
1000000,352,0.185034585
1000000,354,0.189513352
1000000,356,0.187333014
1000000,358,0.181159731
1000000,360,0.188935174
1000000,362,0.189087019
1000000,364,0.183653709
1000000,366,0.18889112
1000000,368,0.187462343
1000000,370,0.186238954
1000000,372,0.189363542
1000000,374,0.189177976
1000000,376,0.186575601
1000000,378,0.182256885
1000000,380,0.18098292
1000000,382,0.185614615
1000000,384,0.180181039
1000000,386,0.183000432
1000000,388,0.180964816
1000000,390,0.177418506
1000000,392,0.17688101
1000000,394,0.180075893
1000000,396,0.186064947
1000000,398,0.179612091
1000000,400,0.174717096
1000000,402,0.177017265
1000000,404,0.181239321
1000000,406,0.1830705
1000000,408,0.174626096
1000000,410,0.176392892
1000000,412,0.168359581
1000000,414,0.172767275
1000000,416,0.172315973
1000000,418,0.171312708
1000000,420,0.168538225
1000000,422,0.169754797
1000000,424,0.172850397
1000000,426,0.167182767
1000000,428,0.172314606
1000000,430,0.171694057
1000000,432,0.173736067
1000000,434,0.177981909
1000000,436,0.168818448
1000000,438,0.172344851
1000000,440,0.172551299
1000000,442,0.167488377
1000000,444,0.163615921
1000000,446,0.174632069
1000000,448,0.168125957
1000000,450,0.163961642
1000000,452,0.162292727
1000000,454,0.166987038
1000000,456,0.166033997
1000000,458,0.165486591
1000000,460,0.170093141
1000000,462,0.162207128
1000000,464,0.167198063
1000000,466,0.160881661
1000000,468,0.159443213
1000000,470,0.163863667
1000000,472,0.163241571
1000000,474,0.16096692
1000000,476,0.165201449
1000000,478,0.16719635
1000000,480,0.165173354
1000000,482,0.163083747
1000000,484,0.168549707
1000000,486,0.16187623
1000000,488,0.163428886
1000000,490,0.15960851
1000000,492,0.158231667
