Genome length,Divisions,Fitness
1000000,6,0.995704138
1000000,8,0.995238228
1000000,10,0.988597317
1000000,12,0.987967494
1000000,14,0.973868241
1000000,16,0.967499862
1000000,18,0.946989284
1000000,20,0.959147975
1000000,22,0.963060165
1000000,24,0.930434157
1000000,26,0.916983727
1000000,28,0.898489173
1000000,30,0.914847102
1000000,32,0.900059246
1000000,34,0.893552713
1000000,36,0.865186485
1000000,38,0.861227689
1000000,40,0.851734427
1000000,42,0.806949572
1000000,44,0.819221251
1000000,46,0.804030699
1000000,48,0.775832533
1000000,50,0.762123155
1000000,52,0.790765321
1000000,54,0.768440981
1000000,56,0.751539872
1000000,58,0.725280966
1000000,60,0.768450419
1000000,62,0.720908347
1000000,64,0.70053052
1000000,66,0.688071011
1000000,68,0.663546274
1000000,70,0.651525851
1000000,72,0.665269499
1000000,74,0.662183183
1000000,76,0.633869846
1000000,78,0.640222655
1000000,80,0.590337472
1000000,82,0.600982911
1000000,84,0.603732945
1000000,86,0.595018763
1000000,88,0.578417628
1000000,90,0.551755082
1000000,92,0.564232857
1000000,94,0.548968919
1000000,96,0.545995098
1000000,98,0.520937123
1000000,100,0.517762287
1000000,102,0.522779311
1000000,104,0.512533349
1000000,106,0.514699629
1000000,108,0.5006568
1000000,110,0.497630144
1000000,112,0.497111376
1000000,114,0.483080522
1000000,116,0.463979041
1000000,118,0.454990072
1000000,120,0.457922048
1000000,122,0.448950416
1000000,124,0.460608058
1000000,126,0.430973073
1000000,128,0.442848849
1000000,130,0.440789279
1000000,132,0.428614276
1000000,134,0.421924899
1000000,136,0.419578229
1000000,138,0.405583094
1000000,140,0.431696421
1000000,142,0.412566625
1000000,144,0.416868792
1000000,146,0.407391546
1000000,148,0.422845185
1000000,150,0.398765252
1000000,152,0.395721404
1000000,154,0.389062566
1000000,156,0.395465864
1000000,158,0.378636031
1000000,160,0.392386832
1000000,162,0.397084297
1000000,164,0.362088549
1000000,166,0.375334318
1000000,168,0.352701579
1000000,170,0.350656949
1000000,172,0.329325752
1000000,174,0.339489766
1000000,176,0.355872213
1000000,178,0.358328577
1000000,180,0.347057596
1000000,182,0.339832602
1000000,184,0.34844197
1000000,186,0.34269838
1000000,188,0.337875096
1000000,190,0.333680032
1000000,192,0.32664085
1000000,194,0.342059119
1000000,196,0.332642071
1000000,198,0.315194556
1000000,200,0.312104985
1000000,202,0.322454833
1000000,204,0.320603248
1000000,206,0.308526144
1000000,208,0.295492084
1000000,210,0.310415781
1000000,212,0.30575105
1000000,214,0.298642267
1000000,216,0.305258607
1000000,218,0.276558796
1000000,220,0.274257967
1000000,222,0.292353175
1000000,224,0.285514031
1000000,226,0.287656174
1000000,228,0.274204179
1000000,230,0.281230393
1000000,232,0.272653663
1000000,234,0.270434305
1000000,236,0.277586831
1000000,238,0.280918397
1000000,240,0.275765972
1000000,242,0.265279568
1000000,244,0.262471096
1000000,246,0.271131804
1000000,248,0.260890626
1000000,250,0.268165877
1000000,252,0.256686252
1000000,254,0.255891294
1000000,256,0.258886846
1000000,258,0.254951866
1000000,260,0.269996293
1000000,262,0.247201958
1000000,264,0.249925333
1000000,266,0.247669383
1000000,268,0.249247779
1000000,270,0.250471416
1000000,272,0.238557842
1000000,274,0.249274849
1000000,276,0.232909559
1000000,278,0.236789303
1000000,280,0.22995615
1000000,282,0.231217634
1000000,284,0.233280675
1000000,286,0.239345593
1000000,288,0.231749253
1000000,290,0.234895582
1000000,292,0.230806839
1000000,294,0.233394021
1000000,296,0.225178541
1000000,298,0.230832846
1000000,300,0.224018315
1000000,302,0.217574012
1000000,304,0.222655106
1000000,306,0.22905066
1000000,308,0.221187922
1000000,310,0.223609951
1000000,312,0.224711682
1000000,314,0.215677643
1000000,316,0.213970031
1000000,318,0.222555935
1000000,320,0.226615362
1000000,322,0.219277643
1000000,324,0.223740499
1000000,326,0.218383437
1000000,328,0.21716503
1000000,330,0.212986725
1000000,332,0.221058603
1000000,334,0.207093626
1000000,336,0.202979403
1000000,338,0.211492874
1000000,340,0.212335319
1000000,342,0.208938999
1000000,344,0.208982492
1000000,346,0.207935067
1000000,348,0.212428461
1000000,350,0.209029554
1000000,352,0.209433458
1000000,354,0.205540702
1000000,356,0.209262912
1000000,358,0.204508895
1000000,360,0.204500438
1000000,362,0.206465408
1000000,364,0.202806508
1000000,366,0.203282506
1000000,368,0.20574535
1000000,370,0.197209961
1000000,372,0.204384042
1000000,374,0.200306845
1000000,376,0.203723582
1000000,378,0.197325835
1000000,380,0.196483975
1000000,382,0.202434542
1000000,384,0.198411685
1000000,386,0.195051324
1000000,388,0.202343706
1000000,390,0.196678754
1000000,392,0.196084548
1000000,394,0.193922792
1000000,396,0.191885345
1000000,398,0.197074598
1000000,400,0.18284176
1000000,402,0.185582909
1000000,404,0.18468205
1000000,406,0.182652643
1000000,408,0.184783619
1000000,410,0.186052942
1000000,412,0.179670665
1000000,414,0.190727695
1000000,416,0.185849749
1000000,418,0.178133341
1000000,420,0.184274928
1000000,422,0.181309348
1000000,424,0.183029739
1000000,426,0.179833435
1000000,428,0.181290266
1000000,430,0.176934405
1000000,432,0.182792531
1000000,434,0.175997902
1000000,436,0.174241584
1000000,438,0.18105558
1000000,440,0.184129861
1000000,442,0.180634633
1000000,444,0.18071254
1000000,446,0.178205786
1000000,448,0.177103708
1000000,450,0.17524774
1000000,452,0.181328271
1000000,454,0.177523533
1000000,456,0.17548069
1000000,458,0.177858173
1000000,460,0.177542384
1000000,462,0.177609986
1000000,464,0.179249006
1000000,466,0.177547375
1000000,468,0.173074889
1000000,470,0.176200192
1000000,472,0.17637222
1000000,474,0.177414486
1000000,476,0.178627833
1000000,478,0.176116976
1000000,480,0.172411577
1000000,482,0.170672159
1000000,484,0.173216017
1000000,486,0.170864325
1000000,488,0.175076506
1000000,490,0.175454207
1000000,492,0.176332723
1000000,494,0.173041324
1000000,496,0.172054743
1000000,498,0.173620006
1000000,500,0.174979701
1000000,502,0.17081977
1000000,504,0.17163211
1000000,506,0.170903107
1000000,508,0.173064542
1000000,510,0.170398678
1000000,512,0.172291555
1000000,514,0.169703738
1000000,516,0.168416499
1000000,518,0.169075057
1000000,520,0.17656131
1000000,522,0.173747213
1000000,524,0.171093669
1000000,526,0.172140679
1000000,528,0.168382132
1000000,530,0.17057557
1000000,532,0.171956258
1000000,534,0.171227746
1000000,536,0.160017964
1000000,538,0.160708467
1000000,540,0.161861536
1000000,542,0.159107591
1000000,544,0.161599594
1000000,546,0.142802828
1000000,548,0.14699728
1000000,550,0.139989426
1000000,552,0.140230081
1000000,554,0.144053441
1000000,556,0.142784178
1000000,558,0.147500577
1000000,560,0.141268695
1000000,562,0.140028596
1000000,564,0.139951414
1000000,566,0.142900651
1000000,568,0.144881958
1000000,570,0.141391671
1000000,572,0.143116006
1000000,574,0.141333063
1000000,576,0.140151296
1000000,578,0.143179137
1000000,580,0.143380407
1000000,582,0.139007115
1000000,584,0.1395604
1000000,586,0.141588868
1000000,588,0.140583774
1000000,590,0.142790019
1000000,592,0.138793117
1000000,594,0.136390599
