Genome length,Divisions,Fitness
1000000,6,0.991184461
1000000,8,0.987022599
1000000,10,0.98327682
1000000,12,0.980930531
1000000,14,0.979237644
1000000,16,0.968271011
1000000,18,0.962046939
1000000,20,0.948008202
1000000,22,0.930267775
1000000,24,0.938767058
1000000,26,0.932757124
1000000,28,0.935716588
1000000,30,0.925339948
1000000,32,0.910769434
1000000,34,0.909138961
1000000,36,0.881453206
1000000,38,0.885253918
1000000,40,0.880520672
1000000,42,0.870308476
1000000,44,0.82180545
1000000,46,0.836108535
1000000,48,0.829749418
1000000,50,0.820114777
1000000,52,0.808851577
1000000,54,0.831134537
1000000,56,0.79880406
1000000,58,0.788967912
1000000,60,0.770147778
1000000,62,0.778578706
1000000,64,0.751723489
1000000,66,0.719881515
1000000,68,0.752578445
1000000,70,0.723797208
1000000,72,0.694450538
1000000,74,0.751952774
1000000,76,0.708499022
1000000,78,0.658965579
1000000,80,0.669994692
1000000,82,0.710882316
1000000,84,0.650566188
1000000,86,0.655559209
1000000,88,0.629178031
1000000,90,0.626154804
1000000,92,0.626969528
1000000,94,0.607811405
1000000,96,0.604720637
1000000,98,0.616973262
1000000,100,0.568617738
1000000,102,0.595461065
1000000,104,0.566524547
1000000,106,0.548713754
1000000,108,0.563758961
1000000,110,0.528619472
1000000,112,0.552400502
1000000,114,0.551247486
1000000,116,0.544974078
1000000,118,0.519768851
1000000,120,0.508378988
1000000,122,0.472025457
1000000,124,0.492901248
1000000,126,0.503996834
1000000,128,0.478968956
1000000,130,0.455953966
1000000,132,0.474228421
1000000,134,0.445621092
1000000,136,0.453769093
1000000,138,0.480904388
1000000,140,0.459951035
1000000,142,0.45006767
1000000,144,0.433382368
1000000,146,0.441727334
1000000,148,0.475844072
1000000,150,0.443490826
1000000,152,0.437249794
1000000,154,0.424381808
1000000,156,0.405255547
1000000,158,0.405558614
1000000,160,0.416482908
1000000,162,0.430488875
1000000,164,0.44002787
1000000,166,0.397471932
1000000,168,0.386077119
1000000,170,0.380571942
1000000,172,0.396308524
1000000,174,0.389256455
1000000,176,0.373841295
1000000,178,0.378755749
1000000,180,0.365101069
1000000,182,0.391332063
1000000,184,0.355030092
1000000,186,0.352677555
1000000,188,0.364462393
1000000,190,0.363471225
1000000,192,0.364816845
1000000,194,0.366748616
1000000,196,0.345185235
1000000,198,0.350885391
1000000,200,0.346027769
1000000,202,0.341610675
1000000,204,0.339649502
1000000,206,0.333122902
1000000,208,0.334396586
1000000,210,0.33594371
1000000,212,0.325308913
1000000,214,0.334887683
1000000,216,0.321702186
1000000,218,0.321095166
1000000,220,0.306719707
1000000,222,0.314732485
1000000,224,0.308751113
1000000,226,0.304226151
1000000,228,0.31211819
1000000,230,0.304527583
1000000,232,0.321899606
1000000,234,0.302569039
1000000,236,0.308318287
1000000,238,0.294540983
1000000,240,0.280008789
1000000,242,0.283473929
1000000,244,0.285011307
1000000,246,0.296345327
1000000,248,0.292140843
1000000,250,0.287958696
1000000,252,0.286303579
1000000,254,0.279662983
1000000,256,0.278314874
1000000,258,0.282669652
1000000,260,0.269474525
1000000,262,0.270554507
1000000,264,0.276406108
1000000,266,0.278078119
1000000,268,0.257454549
1000000,270,0.281065402
1000000,272,0.267462252
1000000,274,0.257665458
1000000,276,0.268380993
1000000,278,0.266072809
1000000,280,0.262527706
1000000,282,0.270234176
1000000,284,0.248815718
1000000,286,0.251259609
1000000,288,0.243524462
1000000,290,0.255253613
1000000,292,0.24906078
1000000,294,0.243609464
1000000,296,0.246892667
1000000,298,0.236468091
1000000,300,0.251716681
1000000,302,0.237589009
1000000,304,0.240085172
1000000,306,0.236511814
1000000,308,0.225821234
1000000,310,0.231929279
1000000,312,0.224947828
1000000,314,0.240898759
1000000,316,0.235350472
1000000,318,0.227749207
1000000,320,0.236825956
1000000,322,0.237438557
1000000,324,0.228768845
1000000,326,0.22751809
1000000,328,0.224078127
1000000,330,0.224604902
1000000,332,0.23211111
1000000,334,0.225890544
1000000,336,0.22128323
1000000,338,0.221305436
1000000,340,0.218497458
1000000,342,0.224847329
1000000,344,0.216610022
1000000,346,0.214195342
1000000,348,0.219315683
1000000,350,0.213608776
1000000,352,0.217248784
1000000,354,0.206715967
1000000,356,0.218817379
1000000,358,0.217822823
1000000,360,0.2142825
1000000,362,0.209443008
1000000,364,0.216824527
1000000,366,0.205046026
1000000,368,0.213867577
1000000,370,0.212089274
1000000,372,0.204220386
1000000,374,0.208302271
1000000,376,0.205751483
1000000,378,0.210385988
1000000,380,0.207720909
1000000,382,0.210091281
1000000,384,0.205674164
1000000,386,0.2105252
1000000,388,0.212123951
1000000,390,0.197165205
1000000,392,0.203697011
1000000,394,0.206052312
1000000,396,0.203450222
1000000,398,0.205366174
1000000,400,0.202247114
1000000,402,0.197600999
1000000,404,0.198409406
1000000,406,0.201166852
1000000,408,0.19833358
1000000,410,0.196119899
1000000,412,0.195176353
1000000,414,0.204413659
1000000,416,0.199697117
1000000,418,0.197815248
1000000,420,0.194080257
1000000,422,0.19688757
1000000,424,0.197694699
1000000,426,0.195370683
1000000,428,0.19694754
1000000,430,0.191922608
1000000,432,0.194157731
1000000,434,0.191363195
1000000,436,0.197062429
1000000,438,0.186835047
1000000,440,0.187257617
1000000,442,0.189550629
1000000,444,0.194215757
1000000,446,0.191074904
1000000,448,0.189610592
1000000,450,0.193647943
1000000,452,0.188271748
1000000,454,0.190569242
1000000,456,0.186878386
1000000,458,0.187361293
1000000,460,0.194279845
1000000,462,0.192701714
1000000,464,0.194906651
1000000,466,0.18981387
1000000,468,0.18346213
1000000,470,0.193223897
1000000,472,0.185538329
1000000,474,0.181645715
1000000,476,0.182890037
1000000,478,0.185676138
1000000,480,0.180976565
1000000,482,0.186152139
