Genome length,Divisions,Fitness
1000000,6,0.986424361
1000000,8,0.982890657
1000000,10,0.986322632
1000000,12,0.974260723
1000000,14,0.965150188
1000000,16,0.957714864
1000000,18,0.926925695
1000000,20,0.943712002
1000000,22,0.875370263
1000000,24,0.891750218
1000000,26,0.891790062
1000000,28,0.853432294
1000000,30,0.853814434
1000000,32,0.809716189
1000000,34,0.779503
1000000,36,0.765634024
1000000,38,0.768718576
1000000,40,0.726288373
1000000,42,0.736234802
1000000,44,0.671645423
1000000,46,0.709859379
1000000,48,0.711818432
1000000,50,0.701084385
1000000,52,0.688826436
1000000,54,0.648688455
1000000,56,0.640621478
1000000,58,0.616950373
1000000,60,0.605177457
1000000,62,0.611897001
1000000,64,0.584047916
1000000,66,0.589255779
1000000,68,0.540705091
1000000,70,0.56714193
1000000,72,0.540047886
1000000,74,0.532736447
1000000,76,0.50048302
1000000,78,0.531051926
1000000,80,0.495823482
1000000,82,0.526913706
1000000,84,0.46947832
1000000,86,0.471725261
1000000,88,0.443542589
1000000,90,0.455217886
1000000,92,0.450979666
1000000,94,0.428075646
1000000,96,0.461861605
1000000,98,0.447545565
1000000,100,0.432192347
1000000,102,0.435697152
1000000,104,0.411186251
1000000,106,0.396998836
1000000,108,0.377710856
1000000,110,0.380865749
1000000,112,0.368857029
1000000,114,0.386616811
1000000,116,0.369397673
1000000,118,0.357223295
1000000,120,0.361798509
1000000,122,0.380606785
1000000,124,0.342800126
1000000,126,0.349686038
1000000,128,0.340973069
1000000,130,0.349256832
1000000,132,0.327732827
1000000,134,0.317020595
1000000,136,0.325075266
1000000,138,0.311851464
1000000,140,0.309973609
1000000,142,0.31500805
1000000,144,0.309878724
1000000,146,0.322945826
1000000,148,0.302518865
1000000,150,0.31008105
1000000,152,0.2933414
1000000,154,0.295847603
1000000,156,0.281345011
1000000,158,0.278310407
1000000,160,0.278057835
1000000,162,0.295227061
1000000,164,0.282024239
1000000,166,0.277179616
1000000,168,0.262931857
1000000,170,0.26334334
1000000,172,0.257428067
1000000,174,0.238008116
1000000,176,0.241044041
1000000,178,0.249014776
1000000,180,0.243378686
1000000,182,0.237659983
1000000,184,0.254012406
1000000,186,0.248760533
1000000,188,0.236633226
1000000,190,0.23016155
1000000,192,0.235663777
1000000,194,0.242598801
1000000,196,0.221561419
1000000,198,0.239679664
1000000,200,0.231558041
1000000,202,0.230890478
1000000,204,0.236680967
1000000,206,0.219840287
1000000,208,0.21717672
1000000,210,0.226550741
1000000,212,0.197978553
1000000,214,0.210969072
1000000,216,0.201261093
1000000,218,0.211508697
1000000,220,0.201883175
1000000,222,0.192696484
1000000,224,0.197375708
1000000,226,0.184892385
1000000,228,0.195192235
1000000,230,0.195534649
1000000,232,0.190608275
1000000,234,0.188861353
1000000,236,0.182634762
1000000,238,0.184915928
1000000,240,0.18882734
1000000,242,0.185316861
1000000,244,0.195026388
1000000,246,0.18473739
1000000,248,0.182676222
1000000,250,0.184476325
1000000,252,0.178008731
1000000,254,0.179748388
1000000,256,0.181957099
1000000,258,0.175686038
1000000,260,0.175260517
1000000,262,0.179007121
1000000,264,0.171093367
1000000,266,0.178379896
1000000,268,0.166882259
1000000,270,0.168440515
1000000,272,0.179208781
1000000,274,0.168810783
1000000,276,0.174419796
1000000,278,0.175678414
1000000,280,0.169544556
1000000,282,0.166478049
1000000,284,0.174858831
1000000,286,0.166823148
1000000,288,0.169524504
1000000,290,0.168312899
1000000,292,0.164286035
1000000,294,0.167740587
1000000,296,0.171662348
1000000,298,0.171943114
1000000,300,0.167955629
1000000,302,0.165073871
1000000,304,0.169709608
1000000,306,0.172241167
1000000,308,0.165677129
1000000,310,0.160269681
1000000,312,0.165170244
1000000,314,0.163748591
1000000,316,0.161073637
1000000,318,0.170447447
1000000,320,0.163324724
1000000,322,0.174838408
1000000,324,0.170409661
1000000,326,0.167408069
1000000,328,0.164330331
1000000,330,0.163661942
1000000,332,0.169605285
1000000,334,0.165440617
1000000,336,0.164440776
1000000,338,0.168711609
1000000,340,0.159418183
1000000,342,0.166989642
1000000,344,0.168410091
1000000,346,0.158852315
1000000,348,0.157946541
1000000,350,0.162397736
1000000,352,0.157010728
1000000,354,0.162396206
1000000,356,0.160311585
1000000,358,0.159764636
1000000,360,0.159244243
1000000,362,0.160439155
1000000,364,0.151088703
1000000,366,0.16244127
1000000,368,0.157693007
1000000,370,0.156771076
1000000,372,0.158419544
1000000,374,0.155592135
1000000,376,0.157096031
1000000,378,0.150259086
1000000,380,0.15253204
1000000,382,0.151707401
1000000,384,0.154399278
1000000,386,0.153019091
1000000,388,0.1518522
1000000,390,0.151821973
1000000,392,0.148517065
1000000,394,0.158646601
1000000,396,0.154083133
1000000,398,0.150916679
1000000,400,0.151969129
1000000,402,0.152192995
1000000,404,0.151420081
1000000,406,0.150165691
1000000,408,0.150576135
1000000,410,0.149068939
1000000,412,0.149348796
1000000,414,0.146034095
1000000,416,0.148226805
1000000,418,0.148638849
1000000,420,0.149435922
1000000,422,0.149604638
1000000,424,0.149144746
1000000,426,0.152931424
1000000,428,0.149263869
1000000,430,0.155918362
1000000,432,0.148442448
1000000,434,0.148519136
1000000,436,0.148332468
1000000,438,0.151648906
1000000,440,0.150658016
1000000,442,0.146485832
1000000,444,0.149464652
1000000,446,0.149829053
1000000,448,0.148773978
1000000,450,0.149455243
1000000,452,0.150790723
1000000,454,0.149814177
1000000,456,0.155384363
1000000,458,0.15413446
1000000,460,0.149962075
1000000,462,0.153091755
1000000,464,0.149604205
1000000,466,0.155397932
1000000,468,0.15037548
1000000,470,0.152106591
1000000,472,0.148263268
1000000,474,0.148664517
1000000,476,0.153363278
1000000,478,0.151237319
1000000,480,0.152942658
1000000,482,0.150188783
1000000,484,0.15344636
1000000,486,0.147902878
1000000,488,0.155711647
1000000,490,0.152271051
1000000,492,0.152380744
1000000,494,0.150664003
1000000,496,0.151020117
1000000,498,0.151782765
1000000,500,0.154306985
1000000,502,0.150826656
1000000,504,0.151393981
1000000,506,0.151205309
1000000,508,0.151701571
1000000,510,0.155618661
1000000,512,0.147182646
1000000,514,0.152964058
1000000,516,0.145792018
1000000,518,0.153052288
1000000,520,0.146535231
1000000,522,0.14765979
1000000,524,0.147400852
1000000,526,0.146052767
1000000,528,0.148332023
1000000,530,0.148477282
1000000,532,0.147243456
1000000,534,0.15123499
1000000,536,0.145513824
1000000,538,0.14505024
1000000,540,0.149373848
1000000,542,0.15179973
1000000,544,0.152278421
1000000,546,0.144684189
1000000,548,0.15380855
1000000,550,0.148608966
1000000,552,0.148514811
