Genome length,Divisions,Fitness
1000000,6,0.975466018
1000000,8,0.960696259
1000000,10,0.90519335
1000000,12,0.907200312
1000000,14,0.910825781
1000000,16,0.873653997
1000000,18,0.861824511
1000000,20,0.799324034
1000000,22,0.856105232
1000000,24,0.756111519
1000000,26,0.745931096
1000000,28,0.784347795
1000000,30,0.711671623
1000000,32,0.739044566
1000000,34,0.703152104
1000000,36,0.643507653
1000000,38,0.679106991
1000000,40,0.60839405
1000000,42,0.624275595
1000000,44,0.640071814
1000000,46,0.589849586
1000000,48,0.550086645
1000000,50,0.5660591
1000000,52,0.553959722
1000000,54,0.551999775
1000000,56,0.550642752
1000000,58,0.506242751
1000000,60,0.487725421
1000000,62,0.518630412
1000000,64,0.491936879
1000000,66,0.45209094
1000000,68,0.495402008
1000000,70,0.449468816
1000000,72,0.432801823
1000000,74,0.462364425
1000000,76,0.41659925
1000000,78,0.430653078
1000000,80,0.422712495
1000000,82,0.408508136
1000000,84,0.375112955
1000000,86,0.378175821
1000000,88,0.41671598
1000000,90,0.377970971
1000000,92,0.346660469
1000000,94,0.393476745
1000000,96,0.373389962
1000000,98,0.350861653
1000000,100,0.347825029
1000000,102,0.34575121
1000000,104,0.358502116
1000000,106,0.326412551
1000000,108,0.307975247
1000000,110,0.325321982
1000000,112,0.318732789
1000000,114,0.308365882
1000000,116,0.317196408
1000000,118,0.300806929
1000000,120,0.300051218
1000000,122,0.309507382
1000000,124,0.288540347
1000000,126,0.291348921
1000000,128,0.300925622
1000000,130,0.266039141
1000000,132,0.282335435
1000000,134,0.275795211
1000000,136,0.272129578
1000000,138,0.266333424
1000000,140,0.26850203
1000000,142,0.260525493
1000000,144,0.248858085
1000000,146,0.269211853
1000000,148,0.27046554
1000000,150,0.268947741
1000000,152,0.257097206
1000000,154,0.246734345
1000000,156,0.254120997
1000000,158,0.256231487
1000000,160,0.246985597
1000000,162,0.238434637
1000000,164,0.254474031
1000000,166,0.24313949
1000000,168,0.242871699
1000000,170,0.248550346
1000000,172,0.224028343
1000000,174,0.241298833
1000000,176,0.23782668
1000000,178,0.227077435
1000000,180,0.235538109
1000000,182,0.222064506
1000000,184,0.212403233
1000000,186,0.227616427
1000000,188,0.20734718
1000000,190,0.2020259
1000000,192,0.185206037
1000000,194,0.186820126
1000000,196,0.179518921
1000000,198,0.182277677
1000000,200,0.17933536
1000000,202,0.182981878
1000000,204,0.18226034
1000000,206,0.176032093
1000000,208,0.184877192
1000000,210,0.188873204
1000000,212,0.177030421
1000000,214,0.179034663
1000000,216,0.185475573
1000000,218,0.189053941
1000000,220,0.17038432
1000000,222,0.188191498
1000000,224,0.17681549
1000000,226,0.18081947
1000000,228,0.177418906
1000000,230,0.172613728
1000000,232,0.174586294
1000000,234,0.177072434
1000000,236,0.167177552
1000000,238,0.17914449
1000000,240,0.186272906
1000000,242,0.17776918
1000000,244,0.186978427
1000000,246,0.178053831
1000000,248,0.181889583
1000000,250,0.175868169
1000000,252,0.172741283
1000000,254,0.172688955
1000000,256,0.174188805
1000000,258,0.16897444
1000000,260,0.167543424
1000000,262,0.166592101
1000000,264,0.176254141
1000000,266,0.16644125
1000000,268,0.166462057
1000000,270,0.16844517
1000000,272,0.163087869
1000000,274,0.166780387
1000000,276,0.172296532
1000000,278,0.176759645
1000000,280,0.174521619
1000000,282,0.17113125
1000000,284,0.163147628
1000000,286,0.168304769
1000000,288,0.164630502
1000000,290,0.172540286
1000000,292,0.165553168
1000000,294,0.165813982
1000000,296,0.167066936
1000000,298,0.169478283
1000000,300,0.163245285
1000000,302,0.158305187
1000000,304,0.161084668
1000000,306,0.162705951
1000000,308,0.157355402
