Genome length,Divisions,Fitness
1000000,6,0.99724291
1000000,8,0.940081187
1000000,10,0.966233317
1000000,12,0.906498296
1000000,14,0.887369296
1000000,16,0.883709645
1000000,18,0.837911474
1000000,20,0.82610791
1000000,22,0.809067217
1000000,24,0.809534218
1000000,26,0.708185555
1000000,28,0.759133059
1000000,30,0.724643183
1000000,32,0.734366398
1000000,34,0.651113481
1000000,36,0.624101345
1000000,38,0.625102122
1000000,40,0.648870821
1000000,42,0.615266346
1000000,44,0.61916322
1000000,46,0.602870856
1000000,48,0.614873769
1000000,50,0.553549036
1000000,52,0.525604799
1000000,54,0.540791543
1000000,56,0.526988585
1000000,58,0.502547697
1000000,60,0.490263475
1000000,62,0.501782904
1000000,64,0.479287614
1000000,66,0.491791771
1000000,68,0.473617983
1000000,70,0.45219438
1000000,72,0.449701703
1000000,74,0.461782937
1000000,76,0.460745094
1000000,78,0.413617161
1000000,80,0.444334438
1000000,82,0.409130125
1000000,84,0.425861259
1000000,86,0.401404662
1000000,88,0.388493311
1000000,90,0.383096113
1000000,92,0.401375728
1000000,94,0.371684565
1000000,96,0.39603058
1000000,98,0.365123004
1000000,100,0.367028107
1000000,102,0.35059461
1000000,104,0.370892939
1000000,106,0.381405611
1000000,108,0.355325717
1000000,110,0.344112726
1000000,112,0.341889243
1000000,114,0.330093734
1000000,116,0.314033359
1000000,118,0.313319284
1000000,120,0.315647237
1000000,122,0.334018113
1000000,124,0.333021724
1000000,126,0.320466355
1000000,128,0.315195475
1000000,130,0.301949663
1000000,132,0.300460833
1000000,134,0.312075048
1000000,136,0.315117159
1000000,138,0.287277385
1000000,140,0.280787482
1000000,142,0.267590486
1000000,144,0.284838061
1000000,146,0.274037302
1000000,148,0.286913163
1000000,150,0.273516768
1000000,152,0.275886796
1000000,154,0.276016999
1000000,156,0.265590715
1000000,158,0.283441055
1000000,160,0.25983616
1000000,162,0.265774566
1000000,164,0.254455778
1000000,166,0.250225149
1000000,168,0.264188938
1000000,170,0.248674451
1000000,172,0.258249622
1000000,174,0.245948376
1000000,176,0.248652765
1000000,178,0.245405849
1000000,180,0.235664114
1000000,182,0.24910572
1000000,184,0.243448772
1000000,186,0.234526194
1000000,188,0.232087644
1000000,190,0.229359586
1000000,192,0.234450767
1000000,194,0.234641191
1000000,196,0.225630227
1000000,198,0.223341867
1000000,200,0.227082925
1000000,202,0.221431554
1000000,204,0.229422859
1000000,206,0.21799165
1000000,208,0.227443957
1000000,210,0.23124774
1000000,212,0.232470937
1000000,214,0.230037407
1000000,216,0.218527956
1000000,218,0.225830533
1000000,220,0.213649761
1000000,222,0.226642993
1000000,224,0.222946985
1000000,226,0.214179001
1000000,228,0.218464707
1000000,230,0.222469562
1000000,232,0.209118491
1000000,234,0.213328701
1000000,236,0.213090786
1000000,238,0.214696678
1000000,240,0.210959706
1000000,242,0.213159463
1000000,244,0.212938641
1000000,246,0.211360085
1000000,248,0.21632843
1000000,250,0.216735477
1000000,252,0.208694161
1000000,254,0.206968595
1000000,256,0.213531211
1000000,258,0.20242109
1000000,260,0.203469662
1000000,262,0.205804955
1000000,264,0.195049095
1000000,266,0.20473486
1000000,268,0.205291054
1000000,270,0.197302342
1000000,272,0.194430701
1000000,274,0.196520725
1000000,276,0.19809454
1000000,278,0.195678299
1000000,280,0.195616042
1000000,282,0.1935982
1000000,284,0.194584752
1000000,286,0.202991718
1000000,288,0.198369772
1000000,290,0.195061323
1000000,292,0.195754805
1000000,294,0.191367903
1000000,296,0.19454444
1000000,298,0.188704144
1000000,300,0.189956903
1000000,302,0.194897849
1000000,304,0.200884929
1000000,306,0.186080709
1000000,308,0.187253448
1000000,310,0.186627253
1000000,312,0.194708278
1000000,314,0.184648496
1000000,316,0.192775877
1000000,318,0.188304424
1000000,320,0.190895896
1000000,322,0.189456263
1000000,324,0.169422951
1000000,326,0.169810203
1000000,328,0.16644802
1000000,330,0.168257471
1000000,332,0.167755271
1000000,334,0.164766111
1000000,336,0.171025852
1000000,338,0.166027062
1000000,340,0.167475619
1000000,342,0.171690067
1000000,344,0.168234641
1000000,346,0.167480212
1000000,348,0.157471359
1000000,350,0.158730893
1000000,352,0.163171997
1000000,354,0.164330489
1000000,356,0.166231991
1000000,358,0.159259513
1000000,360,0.158820958
1000000,362,0.156425639
1000000,364,0.164579709
1000000,366,0.161037906
1000000,368,0.159299954
1000000,370,0.156968776
1000000,372,0.158378503
1000000,374,0.156235195
1000000,376,0.157369342
1000000,378,0.1583605
1000000,380,0.16002426
1000000,382,0.152833032
1000000,384,0.154202145
1000000,386,0.150353723
1000000,388,0.157379751
1000000,390,0.153674712
