Genome length,Divisions,Fitness
1000000,6,0.996335147
1000000,8,0.986945063
1000000,10,0.987033824
1000000,12,0.983841311
1000000,14,0.984824709
1000000,16,0.967025744
1000000,18,0.959004447
1000000,20,0.962249754
1000000,22,0.966031116
1000000,24,0.939047505
1000000,26,0.922011941
1000000,28,0.919337858
1000000,30,0.899760738
1000000,32,0.887967826
1000000,34,0.886803518
1000000,36,0.892341186
1000000,38,0.893192489
1000000,40,0.870178221
1000000,42,0.855783388
1000000,44,0.862639959
1000000,46,0.819853133
1000000,48,0.827335707
1000000,50,0.796325052
1000000,52,0.793683734
1000000,54,0.799502863
1000000,56,0.786563426
1000000,58,0.778920271
1000000,60,0.68656459
1000000,62,0.678221109
1000000,64,0.682757927
1000000,66,0.629076362
1000000,68,0.617590503
1000000,70,0.6036361
1000000,72,0.610968232
1000000,74,0.599150833
1000000,76,0.576613046
1000000,78,0.582434791
1000000,80,0.560280622
1000000,82,0.578169889
1000000,84,0.548296604
1000000,86,0.535966717
1000000,88,0.562062237
1000000,90,0.538470974
1000000,92,0.52332161
1000000,94,0.54568252
1000000,96,0.516983648
1000000,98,0.527327184
1000000,100,0.500220377
1000000,102,0.512354875
1000000,104,0.508284204
1000000,106,0.491936646
1000000,108,0.495320669
1000000,110,0.503268355
1000000,112,0.503807008
1000000,114,0.478603181
1000000,116,0.47685447
1000000,118,0.474232384
1000000,120,0.46496315
1000000,122,0.461257175
1000000,124,0.457543755
1000000,126,0.464417069
1000000,128,0.450100133
1000000,130,0.424399122
1000000,132,0.432582389
1000000,134,0.442999788
1000000,136,0.40869428
1000000,138,0.437201601
1000000,140,0.439930646
1000000,142,0.426358759
1000000,144,0.438858953
1000000,146,0.422019715
1000000,148,0.416685693
1000000,150,0.398758099
1000000,152,0.417045612
1000000,154,0.409998891
1000000,156,0.405823014
1000000,158,0.401807551
1000000,160,0.397543453
1000000,162,0.419226076
1000000,164,0.39681175
1000000,166,0.3980162
1000000,168,0.387943431
1000000,170,0.396265212
1000000,172,0.389899694
1000000,174,0.403808625
1000000,176,0.393331315
1000000,178,0.397245978
1000000,180,0.382517829
1000000,182,0.388024299
1000000,184,0.364200354
1000000,186,0.361660564
1000000,188,0.405233946
1000000,190,0.357221863
1000000,192,0.372979878
1000000,194,0.365958234
1000000,196,0.358567732
1000000,198,0.344069635
1000000,200,0.336603727
1000000,202,0.351201582
1000000,204,0.334640632
1000000,206,0.340894497
1000000,208,0.347893865
1000000,210,0.335522958
1000000,212,0.342583083
1000000,214,0.322385435
1000000,216,0.339844663
1000000,218,0.347572376
1000000,220,0.346220471
1000000,222,0.333231863
1000000,224,0.347264491
1000000,226,0.323820396
1000000,228,0.337572512
1000000,230,0.321290863
1000000,232,0.353964961
1000000,234,0.349628881
1000000,236,0.322188113
1000000,238,0.335142522
1000000,240,0.333511164
1000000,242,0.343611752
1000000,244,0.341019295
1000000,246,0.342671318
1000000,248,0.332596598
1000000,250,0.325753666
1000000,252,0.335877635
1000000,254,0.333895177
1000000,256,0.337923463
1000000,258,0.32250472
1000000,260,0.330273308
1000000,262,0.326089141
1000000,264,0.325106562
1000000,266,0.316497037
1000000,268,0.325355282
1000000,270,0.326603898
1000000,272,0.318365514
1000000,274,0.326333718
1000000,276,0.304768281
1000000,278,0.321991805
1000000,280,0.314263354
1000000,282,0.323293655
1000000,284,0.314316807
1000000,286,0.310179506
1000000,288,0.312163267
1000000,290,0.300946127
1000000,292,0.308494358
1000000,294,0.313841299
1000000,296,0.295083882
1000000,298,0.316028379
1000000,300,0.305427271
1000000,302,0.307221767
1000000,304,0.30776766
1000000,306,0.290009243
1000000,308,0.32358582
1000000,310,0.300874674
1000000,312,0.300192169
1000000,314,0.309339362
1000000,316,0.298448485
1000000,318,0.299719966
1000000,320,0.3049839
1000000,322,0.305896673
1000000,324,0.305306503
1000000,326,0.295355789
1000000,328,0.300718541
1000000,330,0.288657946
1000000,332,0.281807334
1000000,334,0.289715014
1000000,336,0.275971243
1000000,338,0.287369336
1000000,340,0.279140365
1000000,342,0.284837365
1000000,344,0.278798671
1000000,346,0.283195
1000000,348,0.28518142
1000000,350,0.28794708
1000000,352,0.276368225
1000000,354,0.29396772
1000000,356,0.284546999
1000000,358,0.278654777
1000000,360,0.281897484
1000000,362,0.281922141
1000000,364,0.285333767
1000000,366,0.285629384
1000000,368,0.283543987
1000000,370,0.288738377
1000000,372,0.284331067
1000000,374,0.290245467
1000000,376,0.287787494
1000000,378,0.291613678
1000000,380,0.287823789
1000000,382,0.283077974
1000000,384,0.295492842
1000000,386,0.280844877
1000000,388,0.293477145
1000000,390,0.285456199
1000000,392,0.288247843
1000000,394,0.273812303
1000000,396,0.267380293
1000000,398,0.266271996
1000000,400,0.271313334
1000000,402,0.275403587
1000000,404,0.266242543
1000000,406,0.262144242
1000000,408,0.259155128
1000000,410,0.268618045
1000000,412,0.276035898
1000000,414,0.270115689
1000000,416,0.271287412
