Genome length,Divisions,Fitness
1000000,5,0.987664649
1000000,10,0.98327682
1000000,15,0.947246927
1000000,20,0.948008202
1000000,25,0.893317006
1000000,30,0.925339948
1000000,35,0.835878498
1000000,40,0.880520672
1000000,45,0.75594127
1000000,50,0.820114777
1000000,55,0.676323903
1000000,60,0.770147778
1000000,65,0.589265292
1000000,70,0.723797208
1000000,75,0.610130544
1000000,80,0.669994692
1000000,85,0.510940969
1000000,90,0.626154804
1000000,95,0.477810142
1000000,100,0.568617738
1000000,105,0.434833725
1000000,110,0.528619472
1000000,115,0.404895677
1000000,120,0.508378988
1000000,125,0.369831598
1000000,130,0.455953966
1000000,135,0.364969175
1000000,140,0.459951035
1000000,145,0.321863808
1000000,150,0.443490826
1000000,155,0.29063911
1000000,160,0.416482908
1000000,165,0.281586563
1000000,170,0.380571942
1000000,175,0.259386843
1000000,180,0.365101069
1000000,185,0.269111737
1000000,190,0.363471225
1000000,195,0.237073503
1000000,200,0.346027769
1000000,205,0.240556929
1000000,210,0.33594371
1000000,215,0.237750766
1000000,220,0.306719707
1000000,225,0.229004263
1000000,230,0.304527583
1000000,235,0.232580835
1000000,240,0.280008789
1000000,245,0.216447984
1000000,250,0.287958696
1000000,255,0.217098635
1000000,260,0.269474525
1000000,265,0.202895971
1000000,270,0.281065402
1000000,275,0.205337212
1000000,280,0.262527706
1000000,285,0.198337536
1000000,290,0.255253613
1000000,295,0.192383913
1000000,300,0.251716681
1000000,305,0.194915064
1000000,310,0.231929279
1000000,315,0.204307268
1000000,320,0.236825956
1000000,325,0.194822568
1000000,330,0.224604902
1000000,335,0.200345897
1000000,340,0.218497458
1000000,345,0.199626745
1000000,350,0.213608776
1000000,355,0.200220563
1000000,360,0.2142825
1000000,365,0.192971086
1000000,370,0.212089274
1000000,375,0.191785991
1000000,380,0.207720909
1000000,385,0.198966526
1000000,390,0.197165205
1000000,395,0.203380338
1000000,400,0.202247114
1000000,405,0.210866738
1000000,410,0.196119899
1000000,415,0.201611888
1000000,420,0.194080257
1000000,425,0.192920213
1000000,430,0.191922608
1000000,435,0.199648482
1000000,440,0.187257617
1000000,445,0.200509688
1000000,450,0.193647943
1000000,455,0.189140246
1000000,460,0.194279845
1000000,465,0.183303813
