Genome length,Divisions,Fitness
1000000,5,0.999249095
1000000,10,0.983939671
1000000,15,0.961183066
1000000,20,0.954878709
1000000,25,0.86606526
1000000,30,0.883421652
1000000,35,0.767582924
1000000,40,0.819627275
1000000,45,0.660208395
1000000,50,0.758261803
1000000,55,0.571799873
1000000,60,0.710644746
1000000,65,0.514032501
1000000,70,0.639001122
1000000,75,0.453074473
1000000,80,0.581497838
1000000,85,0.416046618
1000000,90,0.534876755
1000000,95,0.357218527
1000000,100,0.501364769
1000000,105,0.336695773
1000000,110,0.472442015
1000000,115,0.308179343
1000000,120,0.436991575
1000000,125,0.307814916
1000000,130,0.431110222
1000000,135,0.276651097
1000000,140,0.362341603
1000000,145,0.262524931
1000000,150,0.346351872
1000000,155,0.258998568
1000000,160,0.318931293
1000000,165,0.227784447
1000000,170,0.288900722
1000000,175,0.233182929
1000000,180,0.293987561
1000000,185,0.22465289
1000000,190,0.265777037
1000000,195,0.207224358
1000000,200,0.246610033
1000000,205,0.207290116
1000000,210,0.239870601
1000000,215,0.211483028
1000000,220,0.230861839
1000000,225,0.193926567
1000000,230,0.23378679
1000000,235,0.190982142
1000000,240,0.221565946
1000000,245,0.189246968
1000000,250,0.221618924
1000000,255,0.192694273
1000000,260,0.219817334
1000000,265,0.184555593
1000000,270,0.211566664
1000000,275,0.177963546
1000000,280,0.206376532
1000000,285,0.180991414
1000000,290,0.196153811
1000000,295,0.178271096
1000000,300,0.201761279
1000000,305,0.179253883
1000000,310,0.194962112
1000000,315,0.183593326
1000000,320,0.187901128
1000000,325,0.18925569
1000000,330,0.180531058
1000000,335,0.186837776
1000000,340,0.184843675
1000000,345,0.190065741
1000000,350,0.181346292
1000000,355,0.180092085
1000000,360,0.177400623
1000000,365,0.178205024
1000000,370,0.173346303
1000000,375,0.180758454
1000000,380,0.173409327
1000000,385,0.18335533
1000000,390,0.165393034
1000000,395,0.175512684
1000000,400,0.168005713
1000000,405,0.180900457
1000000,410,0.159461653
1000000,415,0.159759644
1000000,420,0.15929667
1000000,425,0.169158802
1000000,430,0.159004513
1000000,435,0.157692929
1000000,440,0.139421548
1000000,445,0.161367732
1000000,450,0.1342354
1000000,455,0.163989554
1000000,460,0.136040451
1000000,465,0.160776013
1000000,470,0.129918615
1000000,475,0.16511033
1000000,480,0.129518007
1000000,485,0.160553615
1000000,490,0.127678662
1000000,495,0.157416184
1000000,500,0.12747559
1000000,505,0.156306052
1000000,510,0.127988694
1000000,515,0.161845248
1000000,520,0.121763411
1000000,525,0.158061229
1000000,530,0.12567931
1000000,535,0.156606169
1000000,540,0.122307357
1000000,545,0.157490132
1000000,550,0.12277765
1000000,555,0.137629373
1000000,560,0.121544168
1000000,565,0.136428927
1000000,570,0.120753767
1000000,575,0.136025317
1000000,580,0.118803388
1000000,585,0.133892011
1000000,590,0.123262953
1000000,595,0.13655863
1000000,600,0.124423664
1000000,605,0.129638185
1000000,610,0.121753257
1000000,615,0.128417077
1000000,620,0.118914856
1000000,625,0.11798346
1000000,630,0.120939823
1000000,635,0.120345464
1000000,640,0.116990815
1000000,645,0.117688379
1000000,650,0.122431763
1000000,655,0.125398216
1000000,660,0.116411266
1000000,665,0.122539167
1000000,670,0.119690008
1000000,675,0.129553316
1000000,680,0.119626232
1000000,685,0.129905541
1000000,690,0.117604375
1000000,695,0.128496702
1000000,700,0.119482933
1000000,705,0.126354541
1000000,710,0.113642374
1000000,715,0.126703943
1000000,720,0.114086024
1000000,725,0.124584768
1000000,730,0.113354878
1000000,735,0.129358481
1000000,740,0.112485828
1000000,745,0.125104841
1000000,750,0.112294037
1000000,755,0.124916894
1000000,760,0.111810987
1000000,765,0.126796801
1000000,770,0.110690786
1000000,775,0.126499626
1000000,780,0.110132574
1000000,785,0.125350854
1000000,790,0.107112452
1000000,795,0.122174646
1000000,800,0.108609645
1000000,805,0.124079651
1000000,810,0.107271034
1000000,815,0.123499558
1000000,820,0.107821451
1000000,825,0.120159546
1000000,830,0.107121578
1000000,835,0.121868996
1000000,840,0.103583263
1000000,845,0.11900674
1000000,850,0.100804563
1000000,855,0.12074333
1000000,860,0.102256901
1000000,865,0.123568883
1000000,870,0.105208852
1000000,875,0.117388541
1000000,880,0.108896106
1000000,885,0.123456011
1000000,890,0.109244833
1000000,895,0.125986451
1000000,900,0.112806177
1000000,905,0.124396961
1000000,910,0.112808141
1000000,915,0.124433769
1000000,920,0.111829888
1000000,925,0.121659733
1000000,930,0.112405016
1000000,935,0.125033158
1000000,940,0.111946617
1000000,945,0.124380535
1000000,950,0.109971745
1000000,955,0.123207361
1000000,960,0.111634262
1000000,965,0.123091792
1000000,970,0.108623062
1000000,975,0.122965376
1000000,980,0.110589082
1000000,985,0.121333927
1000000,990,0.106489784
1000000,995,0.122517136
1000000,1000,0.109014648
3000000,5,0.997976551
3000000,10,0.994866147
3000000,15,0.986585771
3000000,20,0.987162399
3000000,25,0.950065265
3000000,30,0.963527698
3000000,35,0.890792399
3000000,40,0.936979086
3000000,45,0.865870524
3000000,50,0.907688967
3000000,55,0.794814281
3000000,60,0.850871876
3000000,65,0.728559496
3000000,70,0.804915228
3000000,75,0.738599477
3000000,80,0.803389794
3000000,85,0.654943245
3000000,90,0.767459603
3000000,95,0.629919964
3000000,100,0.738358895
3000000,105,0.570500724
3000000,110,0.710776535
3000000,115,0.556473843
3000000,120,0.646154718
3000000,125,0.507213508
3000000,130,0.638916526
3000000,135,0.487579051
3000000,140,0.600124398
3000000,145,0.485264711
3000000,150,0.589599694
3000000,155,0.434777841
3000000,160,0.562036231
3000000,165,0.425260107
3000000,170,0.556413997
3000000,175,0.398816122
3000000,180,0.542143718
3000000,185,0.361527208
3000000,190,0.506685095
3000000,195,0.338140651
3000000,200,0.502745941
3000000,205,0.328063464
3000000,210,0.447744034
3000000,215,0.324485562
3000000,220,0.454841461
3000000,225,0.319058459
3000000,230,0.41273906
3000000,235,0.30823955
3000000,240,0.401200349
3000000,245,0.286218673
3000000,250,0.396987504
3000000,255,0.279239708
3000000,260,0.377721981
3000000,265,0.274214494
3000000,270,0.363159518
3000000,275,0.267585065
3000000,280,0.34112828
3000000,285,0.264672226
3000000,290,0.351173265
3000000,295,0.254196507
3000000,300,0.33589039
3000000,305,0.233274366
3000000,310,0.321184541
3000000,315,0.240385877
3000000,320,0.305823669
3000000,325,0.220382599
3000000,330,0.299925477
3000000,335,0.228293588
3000000,340,0.298530556
3000000,345,0.22162096
3000000,350,0.283185002
3000000,355,0.21310455
3000000,360,0.276535085
3000000,365,0.20076597
3000000,370,0.276402306
3000000,375,0.19770938
3000000,380,0.264735498
3000000,385,0.194745877
3000000,390,0.258462883
3000000,395,0.188312143
3000000,400,0.251742364
3000000,405,0.184411398
3000000,410,0.239391738
3000000,415,0.178322247
3000000,420,0.233893731
3000000,425,0.169598598
3000000,430,0.235817374
3000000,435,0.180136398
3000000,440,0.240192098
3000000,445,0.169968192
3000000,450,0.227659363
3000000,455,0.163959063
3000000,460,0.224965705
3000000,465,0.164086109
3000000,470,0.212286846
3000000,475,0.157839475
3000000,480,0.200342545
3000000,485,0.150838709
3000000,490,0.201871907
3000000,495,0.156620417
3000000,500,0.204213559
3000000,505,0.155439916
3000000,510,0.199862251
3000000,515,0.150332331
3000000,520,0.196375442
3000000,525,0.148279982
3000000,530,0.19999967
3000000,535,0.145938886
3000000,540,0.193855731
3000000,545,0.139118029
3000000,550,0.191296501
3000000,555,0.137187596
3000000,560,0.185275595
3000000,565,0.138477872
3000000,570,0.183366582
3000000,575,0.138556694
3000000,580,0.190381104
3000000,585,0.132589721
3000000,590,0.183140344
3000000,595,0.130083108
3000000,600,0.178242939
3000000,605,0.132359112
3000000,610,0.180327098
3000000,615,0.130971282
