Genome length,Divisions,Fitness
1000000,6,0.992070445
1000000,8,0.990576154
1000000,10,0.975344578
1000000,12,0.983265694
1000000,14,0.956429507
1000000,16,0.956149223
1000000,18,0.932111425
1000000,20,0.923760828
1000000,22,0.854613939
1000000,24,0.837484654
1000000,26,0.84361146
1000000,28,0.797531886
1000000,30,0.777496697
1000000,32,0.807080132
1000000,34,0.71664643
1000000,36,0.688529016
1000000,38,0.672463249
1000000,40,0.713957569
1000000,42,0.650338107
1000000,44,0.604015335
1000000,46,0.626576192
1000000,48,0.600516285
1000000,50,0.588288577
1000000,52,0.58427609
1000000,54,0.551006565
1000000,56,0.508317079
1000000,58,0.510269245
1000000,60,0.546773546
1000000,62,0.500232317
1000000,64,0.493917377
1000000,66,0.505094348
1000000,68,0.463584185
1000000,70,0.48327429
1000000,72,0.437722318
1000000,74,0.458770256
1000000,76,0.460294793
1000000,78,0.425928476
1000000,80,0.414076394
1000000,82,0.412458306
1000000,84,0.423101343
1000000,86,0.413823957
1000000,88,0.395058798
1000000,90,0.409344054
1000000,92,0.362949662
1000000,94,0.363696201
1000000,96,0.373876868
1000000,98,0.385997839
1000000,100,0.352424141
1000000,102,0.339796568
1000000,104,0.362211203
1000000,106,0.34994446
1000000,108,0.3276563
1000000,110,0.340949559
1000000,112,0.31791766
1000000,114,0.319844243
1000000,116,0.333694301
1000000,118,0.314368826
1000000,120,0.32059438
1000000,122,0.308635199
1000000,124,0.306782978
1000000,126,0.312404206
1000000,128,0.318243637
1000000,130,0.296456282
1000000,132,0.293183946
1000000,134,0.280700796
1000000,136,0.285663155
1000000,138,0.294530959
1000000,140,0.292657979
1000000,142,0.284169159
1000000,144,0.272390682
1000000,146,0.300102118
1000000,148,0.290685925
1000000,150,0.272667746
1000000,152,0.278495035
1000000,154,0.270112861
1000000,156,0.266326363
1000000,158,0.270424453
1000000,160,0.260757514
1000000,162,0.250265045
1000000,164,0.256621317
1000000,166,0.257110303
1000000,168,0.250248222
1000000,170,0.249708574
1000000,172,0.254395928
1000000,174,0.255667084
1000000,176,0.244659518
1000000,178,0.245663916
1000000,180,0.24108335
1000000,182,0.251753331
1000000,184,0.247931965
1000000,186,0.24007749
1000000,188,0.238004358
1000000,190,0.234604331
1000000,192,0.233566489
1000000,194,0.231041416
1000000,196,0.219338762
1000000,198,0.231889406
1000000,200,0.225596181
1000000,202,0.233648867
1000000,204,0.219452592
1000000,206,0.21654994
1000000,208,0.215432735
1000000,210,0.214632298
1000000,212,0.217183981
1000000,214,0.213631158
1000000,216,0.213194925
1000000,218,0.21053668
1000000,220,0.222947174
1000000,222,0.210641516
1000000,224,0.215887161
1000000,226,0.215840268
1000000,228,0.215327989
1000000,230,0.218566114
1000000,232,0.203743495
1000000,234,0.2012761
1000000,236,0.198118468
1000000,238,0.209112127
1000000,240,0.197611946
1000000,242,0.206271746
1000000,244,0.20255285
1000000,246,0.202929497
1000000,248,0.206400404
1000000,250,0.192134541
1000000,252,0.196304801
1000000,254,0.20290841
1000000,256,0.196286817
1000000,258,0.200133449
1000000,260,0.196090504
1000000,262,0.194422925
1000000,264,0.191442421
1000000,266,0.184132011
1000000,268,0.185243671
1000000,270,0.183444074
1000000,272,0.184477388
1000000,274,0.179739125
1000000,276,0.188690804
1000000,278,0.172400966
1000000,280,0.181672311
1000000,282,0.178287611
1000000,284,0.17723544
1000000,286,0.17209472
1000000,288,0.169222141
1000000,290,0.171478124
1000000,292,0.178625882
1000000,294,0.1704423
1000000,296,0.17665156
1000000,298,0.171358032
1000000,300,0.176439918
1000000,302,0.179673136
1000000,304,0.172164003
1000000,306,0.170572055
1000000,308,0.174879459
1000000,310,0.163901246
1000000,312,0.171992933
1000000,314,0.169097472
1000000,316,0.177521671
1000000,318,0.172992772
1000000,320,0.169830646
1000000,322,0.168593582
1000000,324,0.163172535
1000000,326,0.166100846
1000000,328,0.166868229
1000000,330,0.160983906
1000000,332,0.160270138
1000000,334,0.165029169
1000000,336,0.160119438
1000000,338,0.161866529
1000000,340,0.159680504
1000000,342,0.164291651
1000000,344,0.16011612
1000000,346,0.163891672
1000000,348,0.163500794
1000000,350,0.162528281
1000000,352,0.159545115
1000000,354,0.162598282
1000000,356,0.157858421
1000000,358,0.16260294
1000000,360,0.150304062
1000000,362,0.155080899
1000000,364,0.157742912
1000000,366,0.154490649
1000000,368,0.159535624
1000000,370,0.158655186
1000000,372,0.152593632
1000000,374,0.161471675
1000000,376,0.148975835
1000000,378,0.149057974
1000000,380,0.156005224
1000000,382,0.15591978
1000000,384,0.155502756
1000000,386,0.154010575
1000000,388,0.152325741
1000000,390,0.157406415
1000000,392,0.149786672
1000000,394,0.156400868
1000000,396,0.153486241
1000000,398,0.145864242
1000000,400,0.15012567
1000000,402,0.14839161
1000000,404,0.152172491
1000000,406,0.152689835
1000000,408,0.143010501
1000000,410,0.147358619
1000000,412,0.147341321
1000000,414,0.151713193
1000000,416,0.146127027
1000000,418,0.151260267
1000000,420,0.150890564
1000000,422,0.151941601
1000000,424,0.144389564
1000000,426,0.150828967
1000000,428,0.146722061
1000000,430,0.147733341
1000000,432,0.142877955
1000000,434,0.146745645
1000000,436,0.148506352
1000000,438,0.147420148
1000000,440,0.148873351
1000000,442,0.14072075
1000000,444,0.148031338
1000000,446,0.146400709
