Genome length,Divisions,Fitness
1000000,6,0.990969958
1000000,8,0.988020203
1000000,10,0.981076431
1000000,12,0.948151187
1000000,14,0.942004779
1000000,16,0.921706999
1000000,18,0.880511698
1000000,20,0.900005435
1000000,22,0.900024359
1000000,24,0.847911832
1000000,26,0.774457804
1000000,28,0.793321919
1000000,30,0.755999664
1000000,32,0.793253571
1000000,34,0.73307478
1000000,36,0.714558817
1000000,38,0.708059352
1000000,40,0.700198641
1000000,42,0.633194298
1000000,44,0.698663048
1000000,46,0.627952311
1000000,48,0.633908083
1000000,50,0.609236849
1000000,52,0.638399536
1000000,54,0.573588958
1000000,56,0.573452342
1000000,58,0.524762472
1000000,60,0.535413758
1000000,62,0.513925414
1000000,64,0.509718876
1000000,66,0.484360183
1000000,68,0.462089378
1000000,70,0.474866954
1000000,72,0.471659189
1000000,74,0.467286943
1000000,76,0.431610024
1000000,78,0.408437294
1000000,80,0.450171067
1000000,82,0.426650064
1000000,84,0.374455797
1000000,86,0.371934143
1000000,88,0.399243372
1000000,90,0.364123259
1000000,92,0.376009333
1000000,94,0.39806463
1000000,96,0.369635835
1000000,98,0.351710784
1000000,100,0.366594904
1000000,102,0.349359742
1000000,104,0.342925283
1000000,106,0.35897711
1000000,108,0.313656067
1000000,110,0.344713072
1000000,112,0.326355111
1000000,114,0.336115629
1000000,116,0.326198893
1000000,118,0.328874179
1000000,120,0.335179468
1000000,122,0.336637723
1000000,124,0.312225751
1000000,126,0.306382265
1000000,128,0.312683361
1000000,130,0.301809005
1000000,132,0.295701755
1000000,134,0.306085806
1000000,136,0.286242047
1000000,138,0.292876833
1000000,140,0.297009712
1000000,142,0.296880968
1000000,144,0.289144382
1000000,146,0.285120596
1000000,148,0.300773819
1000000,150,0.299577849
1000000,152,0.274359528
1000000,154,0.274773269
1000000,156,0.272469493
1000000,158,0.260449024
1000000,160,0.267164119
1000000,162,0.265722479
1000000,164,0.276158197
1000000,166,0.262055826
1000000,168,0.270331687
1000000,170,0.280771331
1000000,172,0.266655689
1000000,174,0.257360293
1000000,176,0.257215724
1000000,178,0.256876613
1000000,180,0.26003457
1000000,182,0.251061894
1000000,184,0.249788459
1000000,186,0.252279901
1000000,188,0.264997332
1000000,190,0.243744401
1000000,192,0.252309593
1000000,194,0.242141502
1000000,196,0.242100579
1000000,198,0.243993822
1000000,200,0.246518028
1000000,202,0.234721969
1000000,204,0.233303504
1000000,206,0.23193455
1000000,208,0.243339125
1000000,210,0.242624952
1000000,212,0.238110729
1000000,214,0.233272176
1000000,216,0.230700041
1000000,218,0.238159832
1000000,220,0.234038526
1000000,222,0.22974201
1000000,224,0.227423594
1000000,226,0.231799417
1000000,228,0.239415967
1000000,230,0.226386675
1000000,232,0.237450261
1000000,234,0.232168782
1000000,236,0.226005674
1000000,238,0.222136927
1000000,240,0.233157459
1000000,242,0.222220984
1000000,244,0.224471129
1000000,246,0.222821412
1000000,248,0.226839595
1000000,250,0.227523514
1000000,252,0.217504244
1000000,254,0.21301218
1000000,256,0.222209909
1000000,258,0.216681964
1000000,260,0.223304062
1000000,262,0.218188543
1000000,264,0.211293043
1000000,266,0.212927293
1000000,268,0.223392322
1000000,270,0.217206644
1000000,272,0.214568319
1000000,274,0.212618783
1000000,276,0.211378752
1000000,278,0.217419687
1000000,280,0.210538088
1000000,282,0.206797173
1000000,284,0.21034904
1000000,286,0.202374977
1000000,288,0.198142736
1000000,290,0.200639716
1000000,292,0.194243587
1000000,294,0.19745701
1000000,296,0.191394323
1000000,298,0.197818639
1000000,300,0.200557007
1000000,302,0.190345593
1000000,304,0.190446422
1000000,306,0.195085311
1000000,308,0.195555821
1000000,310,0.190361357
1000000,312,0.193782947
1000000,314,0.187236116
1000000,316,0.185260798
1000000,318,0.198638263
1000000,320,0.187668303
1000000,322,0.186263323
1000000,324,0.183833421
1000000,326,0.189911376
1000000,328,0.190426687
1000000,330,0.185322565
1000000,332,0.186881812
1000000,334,0.186287998
1000000,336,0.188689762
1000000,338,0.184600763
1000000,340,0.188175012
1000000,342,0.186242619
1000000,344,0.183607865
1000000,346,0.181683922
1000000,348,0.186411446
1000000,350,0.184103081
1000000,352,0.180423927
1000000,354,0.181366893
1000000,356,0.181539732
