Genome length,Divisions,Fitness
1000000,6,0.996994851
1000000,8,0.993469265
1000000,10,0.988517393
1000000,12,0.970827883
1000000,14,0.980092941
1000000,16,0.974640923
1000000,18,0.956787954
1000000,20,0.953955588
1000000,22,0.904835855
1000000,24,0.899776411
1000000,26,0.879840249
1000000,28,0.897384058
1000000,30,0.895118898
1000000,32,0.834335286
1000000,34,0.828433338
1000000,36,0.78614339
1000000,38,0.769181925
1000000,40,0.759134704
1000000,42,0.792175137
1000000,44,0.709149121
1000000,46,0.740826099
1000000,48,0.72332128
1000000,50,0.725112069
1000000,52,0.677483468
1000000,54,0.673966224
1000000,56,0.678341893
1000000,58,0.644332524
1000000,60,0.654280506
1000000,62,0.612568004
1000000,64,0.607615493
1000000,66,0.625214019
1000000,68,0.620040707
1000000,70,0.599060989
1000000,72,0.576533457
1000000,74,0.590100025
1000000,76,0.549194426
1000000,78,0.536968995
1000000,80,0.548618032
1000000,82,0.517898937
1000000,84,0.512356652
1000000,86,0.503636363
1000000,88,0.467490168
1000000,90,0.4961179
1000000,92,0.480291524
1000000,94,0.483217674
1000000,96,0.475433246
1000000,98,0.481228017
1000000,100,0.468956035
1000000,102,0.452173777
1000000,104,0.421993609
1000000,106,0.448719397
1000000,108,0.424670524
1000000,110,0.428713086
1000000,112,0.425637801
1000000,114,0.431568533
1000000,116,0.39526736
1000000,118,0.410127395
1000000,120,0.401859303
1000000,122,0.408914888
1000000,124,0.365457077
1000000,126,0.385253562
1000000,128,0.372486476
1000000,130,0.393774418
1000000,132,0.346970436
1000000,134,0.374391267
1000000,136,0.334587224
1000000,138,0.351953815
1000000,140,0.355016505
1000000,142,0.356733946
1000000,144,0.334490265
1000000,146,0.327315137
1000000,148,0.331642428
1000000,150,0.331180594
1000000,152,0.325072557
1000000,154,0.306883417
1000000,156,0.296695448
1000000,158,0.310153021
1000000,160,0.31491258
1000000,162,0.306471348
1000000,164,0.292659927
1000000,166,0.295991121
1000000,168,0.283194042
1000000,170,0.291927926
1000000,172,0.290213383
1000000,174,0.279992125
1000000,176,0.276515283
1000000,178,0.291146803
1000000,180,0.292634918
1000000,182,0.289186175
1000000,184,0.278537023
1000000,186,0.270227107
1000000,188,0.281597877
1000000,190,0.279730082
1000000,192,0.276027224
1000000,194,0.271404884
1000000,196,0.276270678
1000000,198,0.272029444
1000000,200,0.28041416
1000000,202,0.260542763
1000000,204,0.259590004
1000000,206,0.251528824
1000000,208,0.254669532
1000000,210,0.252603664
1000000,212,0.261370378
1000000,214,0.252223489
1000000,216,0.258371614
1000000,218,0.251880589
1000000,220,0.255586467
1000000,222,0.260839749
1000000,224,0.244233177
1000000,226,0.254234769
1000000,228,0.257647773
1000000,230,0.259108418
1000000,232,0.246315967
1000000,234,0.243119699
1000000,236,0.249783395
1000000,238,0.242497443
1000000,240,0.25580461
1000000,242,0.24670315
1000000,244,0.240194399
1000000,246,0.251106175
1000000,248,0.257572523
1000000,250,0.259602067
1000000,252,0.263124936
1000000,254,0.249113703
1000000,256,0.242166304
1000000,258,0.25208192
1000000,260,0.251741373
1000000,262,0.252420184
1000000,264,0.242564899
1000000,266,0.24522374
1000000,268,0.241361082
1000000,270,0.249302948
1000000,272,0.246677643
1000000,274,0.249944522
1000000,276,0.257251719
1000000,278,0.25962913
1000000,280,0.255295929
1000000,282,0.251854616
1000000,284,0.252628845
1000000,286,0.246682129
1000000,288,0.237268635
1000000,290,0.246786584
1000000,292,0.244598019
1000000,294,0.238358986
1000000,296,0.23856184
1000000,298,0.243524794
1000000,300,0.241742691
1000000,302,0.233587892
1000000,304,0.23162846
1000000,306,0.240398514
1000000,308,0.231133168
1000000,310,0.239809939
1000000,312,0.22713754
1000000,314,0.233923399
1000000,316,0.234587933
1000000,318,0.237361278
1000000,320,0.227403113
1000000,322,0.236174666
1000000,324,0.231436858
1000000,326,0.232025342
1000000,328,0.235232287
1000000,330,0.236547177
1000000,332,0.23717688
1000000,334,0.232958025
1000000,336,0.233032448
1000000,338,0.230628345
1000000,340,0.229158768
1000000,342,0.245846115
1000000,344,0.237322778
1000000,346,0.237688944
1000000,348,0.236515284
1000000,350,0.23696009
1000000,352,0.231750087
1000000,354,0.2250873
1000000,356,0.232207243
1000000,358,0.228075658
1000000,360,0.230121104
1000000,362,0.229021197
1000000,364,0.225965844
1000000,366,0.239419573
1000000,368,0.22544866
1000000,370,0.227030729
1000000,372,0.229780903
1000000,374,0.229128667
1000000,376,0.233865474
1000000,378,0.233971862
1000000,380,0.235089992
1000000,382,0.22949902
1000000,384,0.231151412
1000000,386,0.226577627
1000000,388,0.223485939
1000000,390,0.237873978
1000000,392,0.225024768
1000000,394,0.231769837
1000000,396,0.234247427
1000000,398,0.233340642
1000000,400,0.208385616
1000000,402,0.214861333
1000000,404,0.202096765
1000000,406,0.206267315
1000000,408,0.204267891
1000000,410,0.211439709
1000000,412,0.212545057
1000000,414,0.207263362
1000000,416,0.205121522
1000000,418,0.208996153
1000000,420,0.209303825
1000000,422,0.210145291
1000000,424,0.214803417
1000000,426,0.219453144
1000000,428,0.213318639
1000000,430,0.213000643
1000000,432,0.220540776
1000000,434,0.212110341
1000000,436,0.215273817
1000000,438,0.213133446
1000000,440,0.216974078
1000000,442,0.21137817
1000000,444,0.217220801
1000000,446,0.216655735
1000000,448,0.214251998
1000000,450,0.218375567
1000000,452,0.216140121
1000000,454,0.214062932
1000000,456,0.224571038
1000000,458,0.20988532
1000000,460,0.21270992
1000000,462,0.216368026
1000000,464,0.208717155
1000000,466,0.223996358
1000000,468,0.214365862
1000000,470,0.212852637
1000000,472,0.213088826
1000000,474,0.217576849
1000000,476,0.213623583
1000000,478,0.218831198
1000000,480,0.224593394
1000000,482,0.213863683
1000000,484,0.218031346
1000000,486,0.217160602
1000000,488,0.217799263
1000000,490,0.223394199
1000000,492,0.215834338
1000000,494,0.216909801
1000000,496,0.216156114
1000000,498,0.218722501
1000000,500,0.217326866
1000000,502,0.218888592
1000000,504,0.217517349
1000000,506,0.213892854
1000000,508,0.216231064
1000000,510,0.220599722
1000000,512,0.224444891
1000000,514,0.21502787
1000000,516,0.219114677
1000000,518,0.213965898
1000000,520,0.221014994
1000000,522,0.222153038
1000000,524,0.215949556
1000000,526,0.215092778
1000000,528,0.217269469
1000000,530,0.215899148
1000000,532,0.220091575
1000000,534,0.216438197
1000000,536,0.214857464
1000000,538,0.217328648
1000000,540,0.218069009
1000000,542,0.214786968
1000000,544,0.219771868
1000000,546,0.213766453
1000000,548,0.216722628
1000000,550,0.222205055
1000000,552,0.223117063
1000000,554,0.215774516
1000000,556,0.220029844
1000000,558,0.218485722
1000000,560,0.216539211
1000000,562,0.215515168
1000000,564,0.213214285
1000000,566,0.211016
1000000,568,0.216281181
1000000,570,0.212505929
1000000,572,0.215514219
1000000,574,0.210067178
1000000,576,0.207822319
1000000,578,0.206902411
1000000,580,0.214342101
1000000,582,0.206711882
1000000,584,0.209830556
1000000,586,0.216175093
1000000,588,0.207268344
1000000,590,0.214232891
1000000,592,0.210531169
1000000,594,0.209555187
1000000,596,0.209683814
1000000,598,0.207359543
1000000,600,0.214117214
1000000,602,0.208852225
1000000,604,0.206739733
1000000,606,0.207778571
1000000,608,0.209871455
1000000,610,0.211099761
1000000,612,0.20795855
1000000,614,0.202991657
1000000,616,0.2075563
1000000,618,0.21055749
1000000,620,0.20806248
1000000,622,0.205600862
1000000,624,0.202042694
1000000,626,0.207512452
1000000,628,0.205307147
1000000,630,0.207583331
1000000,632,0.205467764
1000000,634,0.207117969
1000000,636,0.212320626
1000000,638,0.209568756
1000000,640,0.206204928
1000000,642,0.206834903
1000000,644,0.209021028
1000000,646,0.208508164
1000000,648,0.206089187
1000000,650,0.209126001
1000000,652,0.207780835
1000000,654,0.207423284
1000000,656,0.211915079
1000000,658,0.208780426
1000000,660,0.207198878
1000000,662,0.207119137
1000000,664,0.204427507
1000000,666,0.210883882
1000000,668,0.215715926
1000000,670,0.213146097
1000000,672,0.209725644
1000000,674,0.216409897
1000000,676,0.209988835
1000000,678,0.220513002
1000000,680,0.212513144
1000000,682,0.218066241
1000000,684,0.213880938
1000000,686,0.214078624
1000000,688,0.212733616
1000000,690,0.218306159
1000000,692,0.213175033
1000000,694,0.216594186
